source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc
RV park,"Broward County, FL",Easterlin Park,"1000 NW 38th St, Oakland Park, FL 33309",Oakland Park,FL,33309,(954) 357-5190,http://www.broward.org/Parks/Pages/Park.aspx?=12,https://www.google.com/maps/place/?q=place_id:ChIJ5wpt6GIB2YgRfTgstPKC4_0,ChIJ5wpt6GIB2YgRfTgstPKC4_0,4.5,970,7,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 0, ""trust"": 7, ""modernity"": 10}",Missing meta description; Phone not visible on homepage; Email not visible; No obvious contact page link,success,Crawled 4 page(s),2025-12-18T05:01:27.322409+00:00
manufactured home community,"Broward County, FL",Tallowwood Isle,"3878 NW 67th St, Coconut Creek, FL 33073",Coconut Creek,FL,33073,(954) 421-2208,https://www.suncommunities.com/florida/tallowwood-isle?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,https://www.google.com/maps/place/?q=place_id:ChIJE8rbTokc2YgRpdfs2_RBI-g,ChIJE8rbTokc2YgRpdfs2_RBI-g,4.3,161,9,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Title too long; Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:27.210064+00:00
RV park,"Broward County, FL",Highland Pines RV Resort,"875 NE 48th St, Pompano Beach, FL 33064",Pompano Beach,FL,33064,(954) 751-3100,https://www.highlandpinesrv.com/,https://www.google.com/maps/place/?q=place_id:ChIJ97mQBWod2YgRZq_ObT5_ldQ,ChIJ97mQBWod2YgRZq_ObT5_ldQ,3.8,188,10,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Good overall,success,Crawled 4 page(s),2025-12-18T05:01:28.771885+00:00
RV park,"Broward County, FL",Encore Breezy Hill,"800 NE 48th St, Pompano Beach, FL 33064",Pompano Beach,FL,33064,(954) 942-8688,https://thousandtrails.com/florida/breezy-hill-rv-resort/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,https://www.google.com/maps/place/?q=place_id:ChIJi2-a2Gkd2YgRi_y95AYyYrk,ChIJi2-a2Gkd2YgRi_y95AYyYrk,3.6,471,8,"{""technical"": 7, ""mobile"": 10, ""performance"": 9, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Moderate load time (>3s); Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:25.289465+00:00
RV park,"Broward County, FL",Encore Highland Woods,"900 NE 48th St, Pompano Beach, FL 33064",Pompano Beach,FL,33064,(954) 942-6254,https://thousandtrails.com/florida/highland-woods-rv-resort/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,https://www.google.com/maps/place/?q=place_id:ChIJYaJpjkId2YgRO_iwkAdTFY4,ChIJYaJpjkId2YgRO_iwkAdTFY4,3.3,113,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:26.964978+00:00
trailer park,"Broward County, FL",Everglades Lakes,"2900 SW 52nd Ave, Davie, FL 33314",Davie,FL,33314,(954) 584-6215,https://mymhcommunity.com/Communities/Florida/EvergladesLakes/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,https://www.google.com/maps/place/?q=place_id:ChIJ2V7Wrtmp2YgR7lRUfwaJy94,ChIJ2V7Wrtmp2YgR7lRUfwaJy94,4,382,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:31.327045+00:00
trailer park,"Broward County, FL",Aztec RV Resort- Motorcoach,"Aztec Blvd #1, Margate, FL 33068",Margate,FL,33068,(954) 975-6411,http://www.aztecrvresort.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_-DP1ocE2YgRLCieECclg8U,ChIJ_-DP1ocE2YgRLCieECclg8U,4.3,428,10,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Good overall,success,Crawled 4 page(s),2025-12-18T05:01:31.019700+00:00
manufactured home community,"Broward County, FL","The Village MHP, LLC","3900 Prospect Rd, Fort Lauderdale, FL 33309",Fort Lauderdale,FL,33309,(954) 731-4111,http://thevillagemhp.com/,https://www.google.com/maps/place/?q=place_id:ChIJ06RnThAE2YgR9ZW-SkKtQrE,ChIJ06RnThAE2YgR9ZW-SkKtQrE,4,73,7,"{""technical"": 7, ""mobile"": 10, ""performance"": 9, ""conversion"": 2, ""trust"": 5, ""modernity"": 10}",Missing meta description; Moderate load time (>3s); Phone not visible on homepage; Email not visible,success,Crawled 2 page(s),2025-12-18T05:01:34.568298+00:00
trailer park,"Broward County, FL",Paradise Island RV Resort,"2121 NW 29th Ct, Oakland Park, FL 33311",Oakland Park,FL,33311,(954) 485-1150,http://paradiserv.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9cp0nEQB2YgRzhJKfgt0Seo,ChIJ9cp0nEQB2YgRzhJKfgt0Seo,4,326,8,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 4, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible; No obvious contact page link,success,Crawled 4 page(s),2025-12-18T05:01:34.274969+00:00
trailer park,"Broward County, FL",Kozy Kampers RV Park-Storage,"3631 W Commercial Blvd, Fort Lauderdale, FL 33309",Fort Lauderdale,FL,33309,(954) 731-8570,http://www.kozykampers.com/,https://www.google.com/maps/place/?q=place_id:ChIJ49bEJwUE2YgRuamIhdh3GsQ,ChIJ49bEJwUE2YgRuamIhdh3GsQ,3.7,194,7,"{""technical"": 9, ""mobile"": 10, ""performance"": 8, ""conversion"": 2, ""trust"": 7, ""modernity"": 10}",Title too long; Slow load time (>5s); Phone not visible on homepage; Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:34.290307+00:00
