source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc,latitude,longitude
mobile home park,"Fort Myers, FL",Orange Grove 55+ RV and Home Community,"647 Nuna Ave, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 205-1488,https://livecobblestone.com/orange-grove/?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb,https://www.google.com/maps/place/?q=place_id:ChIJG61KiXlp24gRC1aPUiY-1pw,ChIJG61KiXlp24gRC1aPUiY-1pw,4.5,123,9,"{""technical"": 8, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing H1; Email not visible,success,Crawled 4 page(s),2025-12-19T18:16:16.277002+00:00,26.6651212,-81.8173125
trailer park,"Fort Myers, FL",Novo Gateway,"11205 Colonial Gtwy Dr, Fort Myers, FL 33905",Fort Myers,FL,11205,(239) 758-9974,http://livenovogateway.com/?utm_knock=gmb,https://www.google.com/maps/place/?q=place_id:ChIJ9fRa4odt24gR2lVAmjYCpPA,ChIJ9fRa4odt24gR2lVAmjYCpPA,4.8,194,1,{},Crawl failed: HTTP 403,failed,HTTP 403,2025-12-19T18:16:21.307822+00:00,26.6210924,-81.7726303
trailer park,"Fort Myers, FL",Drift at the Forum,"3419 Forum Blvd #100, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 251-0848,https://www.driftattheforum.com/?utm_source=gmb&utm_medium=organic,https://www.google.com/maps/place/?q=place_id:ChIJGxRxUWZr24gRIl3My6-87tY,ChIJGxRxUWZr24gRIl3My6-87tY,4.3,81,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:16:20.181652+00:00,26.6153791,-81.7955809
manufactured home community,"Fort Myers, FL",Vistas at Eastwood Apartments,"4985 Eastwood Greens St, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 690-3190,https://www.vistasateastwood.com/,https://www.google.com/maps/place/?q=place_id:ChIJx292vthr24gRfeZNcVqixyA,ChIJx292vthr24gRfeZNcVqixyA,3.1,141,8,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 4, ""trust"": 7, ""modernity"": 10}",Email not visible; No obvious contact page link,success,Crawled 4 page(s),2025-12-19T18:16:19.280245+00:00,26.6306142,-81.8131018
mobile home park,"Fort Myers, FL",Town Treeline - Luxury Apartments & Villas,"12171 Treeline Ave, Fort Myers, FL 33913",Fort Myers,FL,12171,(239) 329-7764,https://www.towntreeline.com/?utm_knock=gmb,https://www.google.com/maps/place/?q=place_id:ChIJ_8QiFXFr24gRGw8bKwTf1yU,ChIJ_8QiFXFr24gRGw8bKwTf1yU,4.3,89,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible,success,Crawled 4 page(s),2025-12-19T18:16:17.320813+00:00,26.5676346,-81.7819215
trailer park,"Fort Myers, FL",The Edison,"5015 Mina Cir, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 256-2893,https://www.theeapts.com/?utm_knock=gmb,https://www.google.com/maps/place/?q=place_id:ChIJi2Vh0D5r24gROvzVM2jqMtw,ChIJi2Vh0D5r24gROvzVM2jqMtw,4.1,318,1,{},Crawl failed: HTTP 403,failed,HTTP 403,2025-12-19T18:16:20.487646+00:00,26.6169297,-81.8096548
RV park,"Fort Myers, FL",Bowtie Island,"3410 Palm Beach Blvd, Fort Myers, FL 33916",Fort Myers,FL,33916,(239) 533-7275,http://www.leeparks.org/,https://www.google.com/maps/place/?q=place_id:ChIJddO96PcX24gRvRiakNryvag,ChIJddO96PcX24gRvRiakNryvag,4.2,9,1,{},Crawl failed: Connection failed,failed,Connection failed,2025-12-19T18:16:24.492151+00:00,26.6581381,-81.8429702
trailer park,"Fort Myers, FL",Gerzeny's RV World - Fort Myers,"2501 Alessio Dr, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 275-4200,https://www.gerzenysrvworld.com/?utm_source=Organic&utm_medium=GMB+Profile&utm_id=Google+My+Business,https://www.google.com/maps/place/?q=place_id:ChIJvxZi-Wdp24gR56hdHh3IvaI,ChIJvxZi-Wdp24gR56hdHh3IvaI,4.2,286,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:16:23.826538+00:00,26.6351795,-81.8064622
manufactured home community,"Fort Myers, FL",Lexington Palms at The Forum,"7500 Omni Ln, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 963-8918,http://www.aspensquare.com/apartments/florida/fort-myers/lexington-palms-at-the-forum?utm_source=google&utm_medium=referral,https://www.google.com/maps/place/?q=place_id:ChIJoVE47e1r24gRtJIpwRmN4q4,ChIJoVE47e1r24gRtJIpwRmN4q4,3.7,383,8,"{""technical"": 10, ""mobile"": 10, ""performance"": 7, ""conversion"": 4, ""trust"": 7, ""modernity"": 10}",Page large (>2MB); Email not visible; No obvious contact page link,success,Crawled 4 page(s),2025-12-19T18:16:22.211744+00:00,26.6333586,-81.789894
trailer park,"Fort Myers, FL",RecNation RV & Boat Storage,"8930 Laredo Ave, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 558-1979,https://www.recnationstorage.com/storage-facility/fl/fort-myers/8930-laredo-ave/?utm_source=GBPListings&utm_medium=organic&utm_campaign=FL-SWD-02,https://www.google.com/maps/place/?q=place_id:ChIJ2UP--0Fr24gREb8ZuhqoUyI,ChIJ2UP--0Fr24gREb8ZuhqoUyI,4.8,83,9,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Title too long; Email not visible,success,Crawled 4 page(s),2025-12-19T18:16:24.121547+00:00,26.644644,-81.809197
manufactured home community,"Fort Myers, FL","Elegance Realty Group, LLC | KW Elevate Luxury","9160 Forum Corporate Pkwy #350, Fort Myers, FL 33905, United States",Fort Myers,FL,33905,(239) 222-2651,http://elegancerealtyhomes.com/,https://www.google.com/maps/place/?q=place_id:ChIJu1QGdppr24gRipfVlRuehOQ,ChIJu1QGdppr24gRipfVlRuehOQ,5,21,8,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 4, ""trust"": 7, ""modernity"": 10}",Email not visible; No obvious contact page link,success,Crawled 4 page(s),2025-12-19T18:16:25.068354+00:00,26.6268269,-81.8040673
